	PD_whole_tree
ExtractionBlank.25.ExtractionBlank.1.1	6.34975
ExtractionBlank.27.ExtractionBlank.1.1	4.19847
ExtractionBlank.28.ExtractionBlank.1.1	2.111
ExtractionBlank.29.ExtractionBlank.1.1	2.1756
ExtractionBlank.3.Feces.1.1	5.3508
ExtractionBlank.30.ExtractionBlank.1.1	0.31403
ExtractionBlank.31.blank.1.1	13.72919
ExtractionBlank.32.blank.1.1	16.87924
ExtractionBlank.4.ExtractionBlank.1.1	4.63751
ExtractionBlank.5.ExtractionBlank.1.1	40.13667
ExtractionBlank.6.ExtractionBlank.1.1	17.60224
ExtractionBlank.7.Feces.1.1	11.28963
ExtractionBlank.8.ExtractionBlank.1.1	2.55309
ExtractionBlank.9.ExtractionBlank.1.1	3.00317
ExtractionBlank.B1.whales.1.1	24.84373
ExtractionBlank.B2.whales.1.1	9.19544
ExtractionBlank.B3.whales.1.1	8.07488
ExtractionBlank.D2.ExtractionBlank.1.1	3.99807
FeatherWorm.1.Gut.1.1	5.91542
FeatherWorm.2.Gut.1.1	5.52237
FeatherWorm.X.Gut.1.1	10.90445
Ferret.1.Feces.1.1	11.03241
Ferret.2.Feces.1.1	23.83464
Ferret.3.Feces.1.1	51.14476
Firefly.1.Gut.1.1	6.00325
Firefly.2.Gut.1.1	18.81377
Firefly.3.Gut.1.1	2.74007
Firefly.4.Gut.1.1	31.12018
Firefly.5.Gut.1.1	17.94856
FlemishGiantRabbit.0.Feces.1.1	289.2593
Fluke.0.Feces.1.1	125.53319
Fly.A0.Gut.1.1	11.09998
Fly.SH0.Gut.1.1	10.65592
Fly.SL0.Gut.1.1	16.68668
Caterpillar.0.Feces.1.1	2.43718
Caterpillar.0.Gut.1.1	0.42818
GENEBLOCK1.0.GeneBlock.1.1	9.15683
GENEBLOCK2.0.GeneBlock.1.1	12.47106
Gerbil.1.Feces.1.1	71.49756
Gerbil.2.Feces.1.1	85.99062
Gerbil.3.Feces.1.1	79.36766
GiantMillipede.0.Feces.1.1	4.0664
GiantMillipede.0.Feces.1.2	125.93551
Gorilla.BQgor0640.Feces.1.1	105.40861
Gorilla.DGgor0408.Feces.1.1	154.45642
Gorilla.EKgor0520.Feces.1.1	150.06602
Gorilla.GTgor145.Feces.1.1	150.93244
Gorilla.KEgor1471.Feces.1.1	125.42396
Gorilla.OPgor1909.Feces.1.1	193.60449
GuineaPig.1.Feces.1.1	191.11068
GuineaPig.2.Feces.1.1	160.26266
H2O.PCRH2O1.PCRH2O.1.1	5.07131
H2O.PCRH2O2.PCRH2O.1.1	14.04488
Hamster.1.Feces.1.1	131.94393
Hamster.2.Feces.1.1	118.35047
Hamster.3.Feces.1.1	144.79603
Hawk.0.Feces.1.1	17.59707
Hawk.0.Pellet.1.1	51.62295
HermitCrab.0.Feces.1.1	42.83774
HissingCockroach.0.Feces.1.1	183.12318
HissingCockroach.0.Feces.2.1	108.06144
HolsteinCow.0.Feces.1.1	226.482
HoneyBee.A0.Gut.1.1	12.04644
HornwormParasite.3.Gut.1.1	5.96897
Hornworm.1.Gut.1.1	5.58385
Hornworm.2.Gut.1.1	5.09545
Hornworm.4.Gut.1.1	49.48783
Hornworm.5.Gut.1.1	8.06596
Hornworm.6.Gut.1.1	123.26505
Hornworm.M1.Gut.1.1	8.78174
Hornworm.M2.Gut.1.1	17.26403
Hornworm.M3.Gut.1.1	12.63186
Hornworm.M4.Gut.1.1	6.66222
Hornworm.M5.Gut.1.1	7.80246
Hornworm.M6.Gut.1.1	12.03166
Hornworm.M7.Gut.1.1	7.53524
Hornworm.S1.Gut.1.1	11.11636
Horse.AH0.Feces.1.1	281.77929
HorseshoeCrab.0.Gut.1.1	61.70335
HorseshoeCrab.0.Gut.1.2	51.64581
HorseshoeCrab.0.Gut_contents.1.1	44.10024
HouseCricket.1.Gut.1.1	28.18769
HouseCricket.2.Gut.1.1	5.12951
HouseMouse.1.Feces.1.1	109.91398
HouseMouse.2.Feces.1.1	168.53416
Human.2011.Feces.1.1	128.68939
Human.2011.Feces.2.1	165.20231
Human.2012.Feces.1.1	111.72836
Human.2016.Feces.1.1	103.81525
Human.2019.Feces.1.1	73.63123
Human.2200.Feces.1.1	194.90808
Human.2202.Feces.1.1	71.27813
Human.2202.Feces.2.1	162.11856
Human.2203.Feces.1.1	96.20322
Human.2203.Feces.2.1	59.6255
Human.2204.Feces.1.1	179.02608
Human.2207.Feces.1.1	86.46803
Human.2207.Feces.2.1	82.07436
Human.2209.Feces.1.1	137.31739
Human.2209.Feces.1.2	138.34162
Human.2209.Feces.2.1	187.21985
Human.2210.Feces.1.1	113.72336
Human.B201601.Feces.1.1	21.21719
Human.S1.Feces.1.1	123.72532
HumanInfant.S3.Feces.1.1	25.43336
HumanToddler.S2.Feces.1.1	85.74202
Isopod.0.Gut.1.1	93.66749
Isopod.1.Gut.1.1	21.92618
Isopod.2.Gut.1.1	84.3881
Isopod.3.Gut.1.1	62.50817
JerseyCow.0.Feces.1.1	539.01209
LabMosquito.AAB27.Gut.1.1	4.31879
LabMosquito.AAL29.Gut.1.1	4.64896
LabMosquito.AG19.Gut.1.1	2.66234
LabMosquito.AS15.Gut.1.1	42.45548
LabMouse.65L1.Feces.1.1	70.32065
LabMouse.65R1.Feces.1.1	41.10345
LabMouse.65R2.Feces.1.1	77.23056
LaManchaGoat.0.Feces.1.1	884.01632
LargeMenhaden.0.Feces.1.1	3.39707
LargePetstoreCricket.1.Gut.1.1	4.02058
LargePetstoreCricket.2.Gut.1.1	4.41817
LargePetstoreMealworm.1.Gut.1.1	2.90139
LargePetstoreMealworm.2.Gut.1.1	23.10651
LargePetstoreMealworm.3.Gut.1.1	46.1861
LargePetstoreMealworm.4.Gut.1.1	30.43445
LargePetstoreMealworm.5.Gut.1.1	24.31314
LeatherySeaSquirt.0.Gut.1.1	0.51944
LemonShark.AD10.Feces.1.1	19.59403
LemonShark.BD10.Feces.1.1	15.86459
LemonShark.NS10.Feces.1.1	24.79359
LemonShark.SV10.Feces.1.1	15.89473
LemonShark.LI10.Feces.1.1	12.21909
LionheadRabbit.0.Feces.1.1	1.24143
LionheadRabbit.DayFeces.Feces.1.1	125.0281
LionheadRabbit.NightFeces.Feces.1.1	199.30764
Macaque.mt1.Feces.1.1	99.24968
Macaque.mt2.Feces.1.1	165.33627
Macaque.mt3.Feces.1.1	223.59156
Macaque.mt4.Feces.1.1	191.14805
Macaque.mt5.Feces.1.1	153.82531
Macaque.mt6.Feces.1.1	171.2825
Mandrill.george.Feces.1.1	209.74232
Mandrill.madol.Feces.1.1	204.27244
MiniRex.0.Feces.1.1	51.95418
Mosquito.WAF3.Gut.1.1	6.97634
Mosquito.WAF5.Gut.1.1	13.10219
Mosquito.WAF5A.Abdomen.1.1	10.38276
Mosquito.WAFf4.Gut.1.1	18.81657
Moth.0.Gut.1.1	9.9317
PetstoreMouse.1.Feces.1.1	66.5319
PetstoreMouse.2.Feces.1.1	68.6821
PetstoreMouse.3.Feces.1.1	41.9552
Mussel.1.Gut.1.1	84.61552
NigeriaCameroonChimpanzee.GApte65.Feces.1.1	163.482
NigeriaCameroonChimpanzee.SYPte21.Feces.1.1	107.30787
NigerianDesertGoat.0.Feces.1.1	561.10938
Parakeet.1.Feces.1.1	10.46375
Parakeet.2.Feces.1.1	28.89326
PencilUrchin.1.Gut.1.1	3.13457
PencilUrchin.1.Gut.1.2	4.1172
PencilUrchin.1.Gut.1.3	6.14286
PencilUrchin.2.Gut.1.1	31.97942
PencilUrchin.2.Gut.1.2	3.75262
PencilUrchin.2.Gut.1.3	0.65026
PhasmidVietnameseStickBug.0.Feces.1.1	9.02849
Pig.LP1.Feces.1.1	242.59462
Pig.LP2.Feces.1.1	228.04594
Pig.WA0337.Feces.1.1	127.29622
Pig.WB0706.Feces.1.1	98.74263
PolishRabit.0.Feces.1.1	374.02236
PrayingMantis.0.Feces.1.1	19.0515
PrayingMantis.0.Feces.1.2	9.73697
Primate.CFpts01.Feces.1.1	152.74742
Primate.GMpts759.Feces.1.1	131.74881
Primate.LUpts2136.Feces.1.1	89.71527
Primate.TCpts11.Feces.1.1	184.94776
Primate.TZpts304.Feces.1.1	154.05886
PurpleUrchin.1.Gut.1.1	1.67325
PurpleUrchin.2.Gut.1.1	1.58531
PurpleUrchin.3.Gut.1.1	0.60787
PurpleUrchin.3.Gut.1.2	0.7041
Rabbit.1.Feces.1.1	160.34865
PetstoreRat.1.Feces.1.1	141.98316
PetstoreRat.2.Feces.1.1	2.95356
PetstoreRat.3.Feces.1.1	112.85681
RedandWhiteHolsteinCow.0.Feces.1.1	545.34756
RedColobus.KB_RC193.Feces.1.1	119.61681
RedColobus.KB_RC208.Feces.1.1	91.31113
SandEncrustingWorm.1.Gut.1.1	24.8557
SandEncrustingWorm.1.Gut.1.2	6.59929
SandEncrustingWorm.2.Gut.1.1	8.09688
SandEncrustingWorm.2.Gut.1.2	2.9196
SBUShark.AD9.Feces.1.1	40.56492
SBUShark.NS9.Feces.1.1	6.33129
SBUShark.SV9.Feces.1.1	78.90022
SBUShark.LI4.Feces.1.1	18.72364
SBUShark.LI15.Feces.1.1	17.7499
SBUShark.LI20.Feces.1.1	168.95372
SBUShark.LI6.Feces.1.1	34.0858
SBUShark.LI9.Feces.1.1	47.95862
SBUShark.BD9.Feces.1.1	6.78946
SeaCucumber.0.Gut.1.1	0.84524
SeaCucumber.1.Gut.1.1	73.26114
SeaRobin.1.Feces.1.1	153.78411
SeaRobin.2.Feces.1.1	189.9975
SeaRobin.2.Gut_contents.1.1	3.60143
Sheep.2.Feces.1.1	146.42949
Sheep.A1.Feces.1.1	424.03747
Sheep.A2.Feces.1.1	432.76817
Sheep.A3.Feces.1.1	368.62581
Sheep.Lepf1.Feces.1.1	159.03163
Sheep.LSh2.Feces.1.1	2.99154
Shrimp.1.Gut.1.1	37.22855
Shrimp.2.Gut.1.1	12.93493
Shrimp.3.Gut.1.1	0.30234
Skate.1.Feces.1.1	67.04773
Skate.2.Feces.1.1	84.13659
SmallCrab.0.Gut.1.1	2.33893
SmallPetstoreCricket.1.Gut.1.1	24.99079
SmallPetstoreCricket.2.Gut.1.1	34.67494
SmallPetstoreCricket.3.Gut.1.1	24.67918
SmallPetstoreMealworm.1.Gut.1.1	9.75956
SmallPetstoreMealworm.2.Gut.1.1	8.26277
SmallPetstoreMealworm.3.Gut.1.1	10.23345
SootyMangabey.anne.Feces.1.1	183.73509
SootyMangabey.yoko.Feces.1.1	236.20731
Spider.1.Feces.1.1	4.81873
Spider.2.Feces.1.1	4.70129
Spider.I.segment.1.1	6.51091
Spider.K.segment.1.1	9.29291
SpinySeaStar.1.Feces.1.1	4.58115
SpinySeaStar.1.Gut.1.1	5.83431
SpinySeaStar.1.Gut.1.2	0.55151
SpinySeaStar.2.Gut.1.1	0.68844
SpinyUrchin.1.Gut.1.1	0.84673
SpinyUrchin.1.Gut.1.2	1.0222
SpinyUrchin.2.Gut.1.1	1.67799
SpinyUrchin.2.Gut.1.2	1.52489
SpinyUrchin.3.Gut.1.1	1.86424
SpinyUrchin.3.Gut.1.2	3.24628
SSBShark.LI1.Feces.1.1	17.86607
SSBShark.LI5.Feces.1.1	16.42945
SSBShark.LI3.Feces.1.1	10.87171
SSBShark.LI12.Feces.1.1	2.38675
SSBShark.LI13.Feces.1.1	14.17144
SSBShark.LI14.Feces.1.1	22.17796
SSBShark.LI16.Feces.1.1	13.16697
SSBShark.LI17.Feces.1.1	13.42234
SSBShark.LI18.Feces.1.1	116.96489
SSBShark.LI19.Feces.1.1	1.89156
SSBShark.LI7.Feces.1.1	21.26357
SSBShark.LI8.Feces.1.1	46.29142
SSBShark.AD18.Feces.1.1	30.05623
SSBShark.BD18.Feces.1.1	14.57308
SSBShark.NS18.Feces.1.1	25.71597
SSBShark.SV18.Feces.1.1	13.37203
Stinkbug.0.Gut.1.1	18.10204
TigerShark.LI11.Feces.1.1	27.37691
